fog_misses_shap_band,fog_misses_shap_desc,fog_misses_shap_abs_band,fog_misses_shap_abs_desc
329,G4_VVEL_950m_t1,375,G5_TMPDP_t3
383,G5_DPTSS_t3,329,G4_VVEL_950m_t1
378,G5_TMPSS_t2,383,G5_DPTSS_t3
372,G5_TMPDP_t0,377,G5_TMPSS_t1
329,G4_VVEL_950m_t1,375,G5_TMPDP_t3
329,G4_VVEL_950m_t1,372,G5_TMPDP_t0
376,G5_TMPSS_t0,380,G5_DPTSS_t0
384,G5_SST,341,G4_VVEL_875m_t1
27,G1_UGRD_875m_t3,372,G5_TMPDP_t0
364,G4_VVEL_725m_t0,329,G4_VVEL_950m_t1
14,G1_UGRD_950mb_t2,373,G5_TMPDP_t1
108,G2_TKE_975m_t0,218,G3_TMP_925mb_t2
13,G1_UGRD_950mb_t1,329,G4_VVEL_950m_t1
27,G1_UGRD_875m_t3,167,G2_Q92_t3
95,G1_VGRD_775m_t3,294,G3_RH_800m_t2
13,G1_UGRD_950mb_t1,54,G1_UGRD_700mb_t2
37,G1_UGRD_800m_t1,257,G3_DPT_2m_t1
34,G1_UGRD_825m_t2,218,G3_TMP_925mb_t2
43,G1_UGRD_775m_t3,154,G2_TKE_700m_t2
44,G1_UGRD_750m_t0,27,G1_UGRD_875m_t3
225,G3_TMP_875mb_t1,14,G1_UGRD_950mb_t2
33,G1_UGRD_825m_t1,14,G1_UGRD_950mb_t2
186,G2_Q80_t2,325,G4_VVEL_975m_t1
365,G4_VVEL_725m_t1,41,G1_UGRD_775m_t1
54,G1_UGRD_700mb_t2,108,G2_TKE_975m_t0
289,G3_RH_825m_t1,183,G2_Q82_t3
35,G1_UGRD_825m_t3,30,G1_UGRD_850m_t2
4,G1_UGRD_10m_t0,13,G1_UGRD_950mb_t1
132,G2_TKE_825m_t0,27,G1_UGRD_875m_t3
32,G1_UGRD_825m_t0,97,G1_VGRD_750m_t1
31,G1_UGRD_850m_t3,174,G2_Q87_t2
16,G1_UGRD_925mb_t0,13,G1_UGRD_950mb_t1
45,G1_UGRD_750m_t1,69,G1_VGRD_925m_t1
78,G1_VGRD_875m_t2,34,G1_UGRD_825m_t2
224,G3_TMP_875mb_t0,15,G1_UGRD_950mb_t3
94,G1_VGRD_775m_t2,37,G1_UGRD_800m_t1
5,G1_UGRD_10m_t1,95,G1_VGRD_775m_t3
179,G2_Q85_t3,82,G1_VGRD_850m_t2
33,G1_UGRD_825m_t1,281,G3_RH_875m_t1
82,G1_VGRD_850m_t2,30,G1_UGRD_850m_t2
94,G1_VGRD_775m_t2,15,G1_UGRD_950mb_t3
24,G1_UGRD_875m_t0,69,G1_VGRD_925m_t1
9,G1_UGRD_975mb_t1,33,G1_UGRD_825m_t1
227,G3_TMP_875mb_t3,82,G1_VGRD_850m_t2
21,G1_UGRD_900mb_t1,125,G2_TKE_875m_t1
20,G1_UGRD_900mb_t0,45,G1_UGRD_750m_t1
19,G1_UGRD_925mb_t3,43,G1_UGRD_775m_t3
81,G1_VGRD_850m_t1,57,G1_VGRD_10m_t1
80,G1_VGRD_850m_t0,13,G1_UGRD_950mb_t1
4,G1_UGRD_10m_t0,34,G1_UGRD_825m_t2
73,G1_VGRD_900m_t1,110,G2_TKE_975m_t2
6,G1_UGRD_10m_t2,155,G2_TKE_700m_t3
70,G1_VGRD_925m_t2,183,G2_Q82_t3
50,G1_UGRD_725m_t2,39,G1_UGRD_800m_t3
78,G1_VGRD_875m_t2,225,G3_TMP_875mb_t1
21,G1_UGRD_900mb_t1,81,G1_VGRD_850m_t1
5,G1_UGRD_10m_t1,229,G3_TMP_850mb_t1
18,G1_UGRD_925mb_t2,31,G1_UGRD_850m_t3
40,G1_UGRD_775m_t0,80,G1_VGRD_850m_t0
191,G2_Q77_t3,186,G2_Q80_t2
68,G1_VGRD_925m_t0,35,G1_UGRD_825m_t3
23,G1_UGRD_900mb_t3,56,G1_VGRD_10m_t0
22,G1_UGRD_900mb_t2,128,G2_TKE_850m_t0
24,G1_UGRD_875m_t0,17,G1_UGRD_925mb_t1
24,G1_UGRD_875m_t0,16,G1_UGRD_925mb_t0
22,G1_UGRD_900mb_t2,32,G1_UGRD_825m_t0
23,G1_UGRD_900mb_t3,29,G1_UGRD_850m_t1
8,G1_UGRD_975mb_t0,116,G2_TKE_925m_t0
279,G3_RH_900m_t3,79,G1_VGRD_875m_t3
17,G1_UGRD_925mb_t1,48,G1_UGRD_725m_t0
19,G1_UGRD_925mb_t3,4,G1_UGRD_10m_t0
43,G1_UGRD_775m_t3,206,G3_TMP_2m_t2
39,G1_UGRD_800m_t3,35,G1_UGRD_825m_t3
6,G1_UGRD_10m_t2,70,G1_VGRD_925m_t2
